target_id	ensembl_gene_id	gene_symbol	hgnc_approved_symbol	jaspar_tf_family	lambert_2018_dbd	type	cell_count	distance_mean	distance_rank_targeting	sig_distance_gt_NC_max	pval_mean	sig_pval_lt_0p05	n_outlier_grnas_in_run	n_grnas_in_run	locus
ENSG00000105732|chr19:42076166-42076229	ENSG00000105732	ZNF574	ZNF574	Factors with multiple dispersed zinc fingers	C2H2 ZF	targeting	224	134.39690551757812	1.0	True	0.0	True	460	13534	chr19:42076166-42076229
ENSG00000136492|chr17:61863088-61863499	ENSG00000136492	BRIP1	BRIP1			targeting	321	125.413818359375	2.0	True	0.0	True	460	13534	chr17:61863088-61863499
ENSG00000188342|chr13:45120463-45120684	ENSG00000188342	GTF2F2	GTF2F2		Unknown	targeting	737	123.96878662109376	3.0	True	0.0	True	460	13534	chr13:45120463-45120684
ENSG00000101096|chr20:51542468-51542723	ENSG00000101096	NFATC2	NFATC2		Rel	targeting	2000	121.32630004882812	4.0	True	0.0	True	460	13534	chr20:51542468-51542723
ENSG00000164296|chr5:150000467-150000604	ENSG00000164296	TIGD6	TIGD6		CENPB	targeting	2000	120.48828735351564	5.0	True	0.0	True	460	13534	chr5:150000467-150000604
ENSG00000007545|chr16:1614195-1614395	ENSG00000007545	CRAMP1L	CRAMP1		Myb/SANT	targeting	2000	119.111474609375	6.0	True	0.0	True	460	13534	chr16:1614195-1614395
ENSG00000020426|chr14:60734731-60734847	ENSG00000020426	MNAT1	MNAT1		Unknown	targeting	118	118.82308349609374	7.0	True	0.00055	True	460	13534	chr14:60734731-60734847
ENSG00000114315|chr3:194136116-194136223	ENSG00000114315	HES1	HES1	Hairy-related factors	bHLH	targeting	1528	118.669189453125	8.0	True	0.0	True	460	13534	chr3:194136116-194136223
ENSG00000134046|chr18:54224191-54224625	ENSG00000134046	MBD2	MBD2		MBD	targeting	2000	117.37674560546876	9.0	True	0.0	True	460	13534	chr18:54224191-54224625
ENSG00000186230|chr19:57435341-57435564	ENSG00000186230	ZNF749	ZNF749		C2H2 ZF	targeting	2000	116.64827270507811	10.0	True	0.0	True	460	13534	chr19:57435341-57435564
ENSG00000196458|chr12:132956111-132956348	ENSG00000196458	ZNF605	ZNF605		C2H2 ZF	targeting	2000	116.563232421875	11.0	True	0.0	True	460	13534	chr12:132956111-132956348
ENSG00000155090|chr8:102653367-102653853	ENSG00000155090	KLF10	KLF10	Three-zinc finger Kruppel-related	C2H2 ZF	targeting	2000	116.35934448242188	12.0	True	0.0	True	460	13534	chr8:102653367-102653853
ENSG00000006468|chr7:13988864-13989683	ENSG00000006468	ETV1	ETV1	Ets-related	Ets	targeting	2000	116.06377563476562	13.0	True	0.0	True	460	13534	chr7:13988864-13989683
ENSG00000084676|chr2:24491867-24491918	ENSG00000084676	NCOA1	NCOA1		bHLH	targeting	2000	115.99132080078124	14.0	True	0.0	True	460	13534	chr2:24491867-24491918
ENSG00000141968|chr19:6772667-6772935	ENSG00000141968	VAV1	VAV1		Unknown	targeting	2000	115.33807983398438	15.0	True	0.0	True	460	13534	chr19:6772667-6772935
ENSG00000137947|chr1:88891086-88891504	ENSG00000137947	GTF2B	GTF2B		Unknown	targeting	197	115.18514404296874	16.0	True	0.0	True	460	13534	chr1:88891086-88891504
ENSG00000023287|chr8:52714363-52714428	ENSG00000023287	RB1CC1	RB1CC1			targeting	2000	115.01624145507812	17.0	True	0.0	True	460	13534	chr8:52714363-52714428
ENSG00000196214|chr19:52269583-52269837	ENSG00000196214	ZNF766	ZNF766	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	2000	114.56685180664064	18.0	True	0.0	True	460	13534	chr19:52269583-52269837
ENSG00000099949|chr22:20982302-20982395	ENSG00000099949	LZTR1	LZTR1		Unknown	targeting	2000	114.49506225585938	19.0	True	0.0	True	460	13534	chr22:20982302-20982395
ENSG00000215397|chr20:676442-676643	ENSG00000215397	SCRT2	SCRT2	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	2000	114.32615966796877	20.0	True	0.0	True	460	13534	chr20:676442-676643
ENSG00000105610|chr19:12886990-12887223	ENSG00000105610	KLF1	KLF1	Three-zinc finger Kruppel-related	C2H2 ZF	targeting	2000	114.00497436523438	21.0	True	0.0	True	460	13534	chr19:12886990-12887223
ENSG00000143867|chr2:19358516-19358616	ENSG00000143867	OSR1	OSR1	Other factors with up to three adjacent zinc fingers	C2H2 ZF	targeting	2000	113.98397827148438	22.0	True	0.0	True	460	13534	chr2:19358516-19358616
ENSG00000142700|chr1:50423378-50423475	ENSG00000142700	DMRTA2	DMRTA2	DMRT factors	DM	targeting	2000	113.53890991210938	23.0	True	0.0	True	460	13534	chr1:50423378-50423475
ENSG00000213921|chr19:39776606-39777006	ENSG00000213921	LEUTX	LEUTX	Paired-related HD	Homeodomain	targeting	2000	113.4517333984375	24.0	True	0.0	True	460	13534	chr19:39776606-39777006
ENSG00000164900|chr7:151174474-151174742	ENSG00000164900	GBX1	GBX1	HOX	Homeodomain	targeting	2000	113.39930419921876	25.0	True	0.0	True	460	13534	chr7:151174474-151174742
ENSG00000129084|chr11:14519918-14520317	ENSG00000129084	PSMA1	PSMA1			targeting	2000	113.3039794921875	26.0	True	0.0	True	460	13534	chr11:14519918-14520317
ENSG00000141380|chr18:26090413-26090627	ENSG00000141380	SS18	SS18			targeting	2000	113.21419067382811	27.0	True	0.0	True	460	13534	chr18:26090413-26090627
ENSG00000242441|chr2:48617809-48617927	ENSG00000242441	GTF2A1L	GTF2A1L		Unknown	targeting	2000	113.17654418945312	28.0	True	0.0	True	460	13534	chr2:48617809-48617927
ENSG00000167491|chr19:19405761-19406238	ENSG00000167491	GATAD2A	GATAD2A		GATA	targeting	2000	113.14151000976562	29.0	True	0.0	True	460	13534	chr19:19405761-19406238
ENSG00000132170|chr3:12287955-12288395	ENSG00000132170	PPARG	PPARG	Thyroid hormone receptor-related factors (NR1)	Nuclear receptor	targeting	2000	113.08827514648438	30.0	True	0.0	True	460	13534	chr3:12287955-12288395
ENSG00000185610|chr12:45050884-45051090	ENSG00000185610	DBX2	DBX2		Homeodomain	targeting	2000	112.6226806640625	31.0	True	0.0	True	460	13534	chr12:45050884-45051090
ENSG00000109685|chr4:1871399-1871869	ENSG00000109685	WHSC1	NSD2		HMG/Sox	targeting	2000	112.61698608398436	32.0	True	0.0	True	460	13534	chr4:1871399-1871869
ENSG00000075426|chr2:28392854-28393581	ENSG00000075426	FOSL2	FOSL2	Fos-related	bZIP	targeting	2000	112.60972900390624	33.0	True	0.0	True	460	13534	chr2:28392854-28393581
ENSG00000132604|chr16:69385778-69385971	ENSG00000132604	TERF2	TERF2		Myb/SANT	targeting	2000	112.45968627929688	34.0	True	0.0	True	460	13534	chr16:69385778-69385971
ENSG00000183495|chr12:131949997-131950319	ENSG00000183495	EP400	EP400		Unknown	targeting	1456	112.283740234375	35.0	True	0.0	True	460	13534	chr12:131949997-131950319
ENSG00000064490|chr19:19192941-19193190	ENSG00000064490	RFXANK	RFXANK		Unknown	targeting	2000	112.20889892578126	36.0	True	0.0	True	460	13534	chr19:19192941-19193190
ENSG00000069011|chr5:135034178-135034269	ENSG00000069011	PITX1	PITX1	Paired-related HD factors	Homeodomain	targeting	2000	112.20086669921876	37.0	True	0.0	True	460	13534	chr5:135034178-135034269
ENSG00000116731|chr1:13704871-13705208	ENSG00000116731	PRDM2	PRDM2		C2H2 ZF	targeting	2000	112.13946533203124	38.0	True	0.0	True	460	13534	chr1:13704871-13705208
ENSG00000177494|chr3:111594890-111595314	ENSG00000177494	ZBED2	ZBED2	BED zinc finger factors	BED ZF	targeting	2000	112.11163330078124	39.0	True	0.0	True	460	13534	chr3:111594890-111595314
ENSG00000186184|chr13:27621865-27621958	ENSG00000186184					positive control	2000	111.9715576171875		True	0.0	True	460	13534	chr13:27621865-27621958
ENSG00000137203|chr6:10411951-10412352	ENSG00000137203	TFAP2A	TFAP2A	AP-2	AP-2	targeting	2000	111.90665283203126	40.0	True	0.0	True	460	13534	chr6:10411951-10412352
ENSG00000150051|chr10:27745573-27745800	ENSG00000150051	MKX	MKX	TALE-type HD	Homeodomain	targeting	2000	111.7408447265625	41.0	True	0.0	True	460	13534	chr10:27745573-27745800
ENSG00000183621|chr10:31031657-31031890	ENSG00000183621	ZNF438	ZNF438		C2H2 ZF	targeting	2000	111.72367553710936	42.0	True	0.0	True	460	13534	chr10:31031657-31031890
ENSG00000125945|chr1:23369540-23369830	ENSG00000125945	ZNF436	ZNF436	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	2000	111.60923461914062	43.0	True	0.0	True	460	13534	chr1:23369540-23369830
ENSG00000171540|chr5:77638317-77638693	ENSG00000171540	OTP	OTP		Homeodomain	targeting	2000	111.4917236328125	44.0	True	0.0	True	460	13534	chr5:77638317-77638693
