target_id	ensembl_gene_id	gene_symbol	hgnc_approved_symbol	jaspar_tf_family	lambert_2018_dbd	type	locus	distance_mean_HuangfuDE	distance_rank_HuangfuDE	sig_dist_gt_NC_max_HuangfuDE	distance_mean_HuangfuESC	distance_rank_HuangfuESC	sig_dist_gt_NC_max_HuangfuESC	n_datasets_with_data	n_datasets_significant	classification
ENSG00000132604|chr16:69385778-69385971	ENSG00000132604	TERF2	TERF2		Myb/SANT	targeting	chr16:69385778-69385971	112.45968627929688	34.0	True	638.3725006103516	7.0	True	2	2	convergent_significant
ENSG00000137947|chr1:88891086-88891504	ENSG00000137947	GTF2B	GTF2B		Unknown	targeting	chr1:88891086-88891504	115.18514404296874	16.0	True	619.2948822021484	36.0	True	2	2	convergent_significant
ENSG00000105732|chr19:42076166-42076229	ENSG00000105732	ZNF574	ZNF574	Factors with multiple dispersed zinc fingers	C2H2 ZF	targeting	chr19:42076166-42076229	134.39690551757812	1.0	True	602.4493835449218	82.0	True	2	2	convergent_significant
ENSG00000213921|chr19:39776606-39777006	ENSG00000213921	LEUTX	LEUTX	Paired-related HD	Homeodomain	targeting	chr19:39776606-39777006	113.4517333984375	24.0	True	597.143032836914	103.0	False	2	1	HuangfuDE-specific
ENSG00000183495|chr12:131949997-131950319	ENSG00000183495	EP400	EP400		Unknown	targeting	chr12:131949997-131950319	112.283740234375	35.0	True	594.1135101318359	119.0	False	2	1	HuangfuDE-specific
ENSG00000125945|chr1:23369540-23369830	ENSG00000125945	ZNF436	ZNF436	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	chr1:23369540-23369830	111.60923461914062	43.0	True	591.0771026611328	136.0	False	2	1	HuangfuDE-specific
ENSG00000150051|chr10:27745573-27745800	ENSG00000150051	MKX	MKX	TALE-type HD	Homeodomain	targeting	chr10:27745573-27745800	111.7408447265625	41.0	True	580.7340270996094	219.0	False	2	1	HuangfuDE-specific
ENSG00000155592|chr16:25257523-25257835	ENSG00000155592	ZKSCAN2	ZKSCAN2		C2H2 ZF	targeting	chr16:25257523-25257835	110.85250854492188	56.0	True	579.9485321044922	226.0	False	2	1	HuangfuDE-specific
ENSG00000164296|chr5:150000467-150000604	ENSG00000164296	TIGD6	TIGD6		CENPB	targeting	chr5:150000467-150000604	120.48828735351564	5.0	True	578.1957397460938	240.0	False	2	1	HuangfuDE-specific
ENSG00000130589|chr20:63573740-63574263	ENSG00000130589	HELZ2	HELZ2		Unknown	targeting	chr20:63573740-63574263	110.71075439453124	59.0	True	576.9714965820312	253.0	False	2	1	HuangfuDE-specific
ENSG00000196214|chr19:52269583-52269837	ENSG00000196214	ZNF766	ZNF766	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	chr19:52269583-52269837	114.56685180664064	18.0	True	572.6467559814453	287.0	False	2	1	HuangfuDE-specific
ENSG00000114315|chr3:194136116-194136223	ENSG00000114315	HES1	HES1	Hairy-related factors	bHLH	targeting	chr3:194136116-194136223	118.669189453125	8.0	True	568.8654602050781	333.0	False	2	1	HuangfuDE-specific
ENSG00000253293|chr7:27174026-27174311	ENSG00000253293	HOXA10	HOXA10	HOX	Homeodomain	targeting	chr7:27174026-27174311	111.06386108398438	50.0	True	566.7250030517578	362.0	False	2	1	HuangfuDE-specific
ENSG00000290988|chr19:37692075-37692259	ENSG00000290988	ZNF781	ZNF781		C2H2 ZF	targeting	chr19:37692075-37692259	111.2273681640625	49.0	True	563.6539154052734	398.0	False	2	1	HuangfuDE-specific
ENSG00000004848|chrX:25015643-25015955	ENSG00000004848	ARX	ARX		Homeodomain	targeting	chrX:25015643-25015955	111.48054809570311	45.0	True	561.2381408691406	432.0	False	2	1	HuangfuDE-specific
ENSG00000185610|chr12:45050884-45051090	ENSG00000185610	DBX2	DBX2		Homeodomain	targeting	chr12:45050884-45051090	112.6226806640625	31.0	True	559.9814361572265	456.0	False	2	1	HuangfuDE-specific
ENSG00000177494|chr3:111594890-111595314	ENSG00000177494	ZBED2	ZBED2	BED zinc finger factors	BED ZF	targeting	chr3:111594890-111595314	112.11163330078124	39.0	True	547.2352691650391	682.0	False	2	1	HuangfuDE-specific
ENSG00000164900|chr7:151174474-151174742	ENSG00000164900	GBX1	GBX1	HOX	Homeodomain	targeting	chr7:151174474-151174742	113.39930419921876	25.0	True	546.1809173583985	708.0	False	2	1	HuangfuDE-specific
ENSG00000115053|chr2:231464232-231464485	ENSG00000115053	NCL	NCL			targeting	chr2:231464232-231464485	110.58636474609376	61.0	True	545.7793914794922	717.0	False	2	1	HuangfuDE-specific
ENSG00000084676|chr2:24491867-24491918	ENSG00000084676	NCOA1	NCOA1		bHLH	targeting	chr2:24491867-24491918	115.99132080078124	14.0	True	543.0848571777344	772.0	False	2	1	HuangfuDE-specific
ENSG00000109685|chr4:1871399-1871869	ENSG00000109685	WHSC1	NSD2		HMG/Sox	targeting	chr4:1871399-1871869	112.61698608398436	32.0	True	543.0510498046875	773.0	False	2	1	HuangfuDE-specific
ENSG00000144655|chr3:39153191-39153573	ENSG00000144655	CSRNP1	CSRNP1		Unknown	targeting	chr3:39153191-39153573	110.29962768554688	67.0	True	542.6703033447266	785.0	False	2	1	HuangfuDE-specific
ENSG00000023287|chr8:52714363-52714428	ENSG00000023287	RB1CC1	RB1CC1			targeting	chr8:52714363-52714428	115.01624145507812	17.0	True	542.4415344238281	791.0	False	2	1	HuangfuDE-specific
ENSG00000215397|chr20:676442-676643	ENSG00000215397	SCRT2	SCRT2	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	chr20:676442-676643	114.32615966796877	20.0	True	540.1502044677734	845.0	False	2	1	HuangfuDE-specific
